	crp	esr	das28crp	rf_tit	acpa_tit
FGFR1OP	0	0	0	0	0
FGFR2	0	0	0	0	0
FGFR2_ext	0	0	0	0	0
FGFR2_int	0	0	-0.4245154414427846	0	0
FGFR4_ext	0	0	0	0	0
FGFR4_int	0	0	0	0	0
FH	0	0	0	0	0
FIP1L1	0	0	0	0	0
FKBP1B	0	0	0	0	0
FKBP3	0	0	0	0	0
FKBP5	0	0	0	0	0
FLCN	0	0	0	0	0
FLI1	0	0	0	0	0
FLT1	0	0	0	0	0
FMNL2	0	0	0	0	0
FMR1NB	0	0	0	0	0
FN3K	0	0	0	0	0
FOLH1	0	0	0	0	0
FOS	0	0	0	0	0
FOSL1	0	0	0	0	0
FOSL2	0	0	0	0	0
FOXA3	0	0	0	0	0
FOXI1	0	0	0	0	0
FOXN2	0	0	0	0	0
FOXR2	0	0	0	0	0
FOXS1	0	0	0	0	0
FRK	0	0	0	0	0
FSCN1	0	0	0	0	0
FTH1	0	0	0	0	0
FTHL17	0	0	0	0	0
FTSJ3	0	0	0	0	0
FUS	0	0	0	0	0
FYN	0	0	0	0	0
FZD1	0	0	0	0	0
G6PD	0	0	0	0	0
GADD45G	0	0	0	0	0
GAGE1	0	0	0	0	0
GAGE2	0	0	0	0	0
GALK1	0	0	0	0	0
GAPDH	0	0	0	0	0
GAS2	0	0	0	0	0
GAS7	0	0	0	0	0
GATA1	0	0	0	0	0
GATA3	0	0	0	0	0
GATAD2A	0	0	0	0	0
GCLC	0	0	0	0	0
GDF15	0	0	0	0	0
GEM	0	0	0	0	0
GFAP	0	0	0	0	0
GGPS1	0	0	0	0	0
GIPC1	0	0	0	0	0
GK	0	0	0	0	0
GK2	0	0	0	0	0
GLRX3	0	0	0	0	0
GLS2	0	0	-0.45133372851215176	0	0
GMEB1	0	0	0	0	0
GMEB2	0	0	0	0	0
GMPS	0	0	0	0	0
GNA15	0	0	0	0	0
GNAI2	0	0	0	0	0
GNAI3	0	0	0	0	0
GNAO1	0	0	0	0	0
GNAZ	0	0	0	0	0
GNB1	0	0	0	0	0
GNB3	0	0	0	0	0
GNG11	0	0	0	0	0
GNG2	0	0	0	0	0
GNG3	0	0	0.431416716064019	0	0
GNG4	0	0	0	0	0
GNGT2	0	0	0	0	0
GOT1	0	0	0	0	0
GP2	0	0	0	0	0
GPA33	0	0	0	0	0
GPAT2	0	0	0	0	0
GPATCH2	0	0	0	0	0
GPC3	0	0	0	0	0
GPHN	0	0	0	0	0
GPX1	0	0	0	0	0
GRAP2	0	0	0	0	0
GRB10	0	0	0	0	0
GRB2	0	0	0	0	0
GRB7	0	0	0	0.49070979653034114	0
GRK2	0	0	0	0	0
GRK3	0	0	0	0	0
GRK5	0	0	0	0	0
GRK6	0	0	0	0	0
GRM3	0	0	0	0	0
GSK3B	0	0	0	0	0
GSTT1	0	0	0	0	0
GTF2A2	0	0	0	0	0
GTF2B	0	0	0	0	0.4676779297928434
GTF2E2	0	0	0	0	0
GTF2F1	0	0	0	0	0
GTF2F2	0	0	0	0	0
GTF2H1	0	0	0	0	0
GTF2H2C	0	0	0	0	0
GTPBP1	0	0	0	0	0
GUK1	0	0	0	0	0
H2AFY	0	0	0	0	0
HAGH	0	0	0	0	0
HAGHL	0	0	0	0	0
HAND1	0	0	0	0	0
HBG1	0	0	0	0	0
HCFC2	0	0	0	0	0
HCLS1	0	0	0	0	0
HDAC1	0	0	0	0	0
HDAC3	0	0	0	0	0
HDAC4	0	0	0	0	0
HES6	0	0	0	0	0
HEXIM1	0	0	0	0	0
HEYL	0	0	0	0	0
HIF1A	0	0	0	0	0
HIF3A	0	0	0	0	0
HINFP	0	0	0	0	0
HIPK1	0	0	0	0	0
HIPK4	0	0	0	0	0
HIST1H1C	0	0	0	0.5209760226055188	0
HIST1H4A	0	0	0	0	0
HK2	0	0	0	0.4917021318114944	0
HLX	0	0	0	0	0
HMG20B	0	0	0	0	0
HMGB2	0	0	0	0	0
HMGN5	0	0	0	0	0
HNF1B	0	0	0	0	0
HNRNPA2B1	0	0	0	0	0
HNRNPUL1	0	0	0	0	0
HOMER2	0	0	0	0	0
HOOK1	0	0	0	0	0
HOPX	0	0	0	0	0
HORMAD1	0	0	0	0	0
HOXA1	0	0	0	0	0
HOXA9	0	0	0	0	0
HOXB13	0	0	0	0	0
HOXB6	0	0	0	0	0
HOXB7	0	0	0	0	0
HOXC10	0	0	0	0	0
HOXC8	0	0	0	0	0
HPCAL1	0	0	-0.5934443730417702	0	0
HPRT1	0	0	0	0	0
HRAS	0	0	0	0	0
HRH1	0	0	0	0	0
HRH2	0	0	0	0	0
HSBP1	0	0	0	0	0
HSF1	0	0	0	0	0
HSFY1	0	0	0	0	0
HSP90AA1	0	0	0	0	0
HSP90AB1	0	0	0	0	0
HSPA1A	0	0	0	0	0
HSPA5	0	0	0	0	0
HSPB8	0	0	0	0	0
HSPB9	0	0	0	0	0
HSPD1	0	0	0	0	0
HSPE1	0	0	0	0	0
HTATIP2	0	0	0	0	0
HTR1D	0	0	0	0	0
HTR2B	0	0	0	0	0
HUS1	0	0	0	0	0
ICL_2	0	0	0	0	0
ICL_3	0	0	0	0	0
ID1	0	0	0	0	0
ID2	0	0	0	0	0
IDI1	0	0	0	0	0
IDO1	0	0	0	0	0
IFI16	0	0	0	0	0
IFI35	0	0	0	0	0
IFIT1	0	0	0	0	0
IFIT5	0	0	0	0	0
IFITM1	0	0	0	0	0
IGF2	0	0	0	0	0
IGF2BP1	0	0	0	0	0
IGF2BP3	0	0	0	0	0
IGHG1	0	0	0	0	0
IGSF11	0	0	0	0	0
IKBKB	0	0	0	0	0
IKBKE	0	0	0	0	0
IKZF1	0	0	0	0	0
IKZF3	0	0	0	0	0
IL13RA1	0	0	0	0	0
IL13RA2	0	0	0	0	0
IL18	0	0	0	0	0
IL1A	0	0	0	0	0
IL1B	0	0	0	0	0
IL1F5	0	0	0	0	0
IL1RN	0	0	0	0	0
IL21R	0	0	0	0	0
IL24	0	0	0	0	0
IL37	0	0	0	0	0
ILF2	0	0	0	0	0
ILK	0	0	0	0	0
IMP3	0	0	0	0	0
IMPA1	0	0	0	0	0
IMPDH1	0	0	0	0	0
INA	0	0	0	0	0
ING4	0	0	0	0	0
INHBA	0	0	0	0	0
INPP1	0	0	0	0	0
INPP5B	0	0	0	0	0
IP6K1	0	0	0	0	0
IP6K2	0	0	0	0	0.470859412308441
IPMK	0	0	0	0	0
IRAK1	0	0	0	0	0
IRAK4	0	0	0	0	0
IRF4	0	0	0	0	0
IRF5	0	0	0	0	0
ISG20	0	0	0	0	0
IST1	0	0	0	0	0
ITGB6	0	0	0	0	0
ITGBL1	0	0	0	0	0
ITK	0	0	0	0	0
ITPK1	0	0	0	0	0
ITPKB	0	0	0	0	0
JADE1	0	0	0	0	0
JAK3	0	0	0	0	0
JUNB	0	0	0	0	0
JUP	0	0	0	0	0
KAT2A	0	0	0	0	0
KAT7	0	0	0	0	0
KATNB1	0	0	0	0	0
KCMF1	0	0	0	0	0
KCNIP3	0	0	0	0	0
KIF9	0	0	0	0	0
KIT	0	0	0	0	0
KIT_ext	0	0	0	0	0
KIT_int	0	0	0	0	0
KLF10	0	0	0	0	0
KLF12	0	0	0	0	0
KLF4	0	0	0	0	0
KLF6	0	0	0	0	-0.4955487342859698
KLF7	0	0	0	0	0
KLHL12	0	0	0	0	0
KLK3	0	0	0	0	0
KRAS	0	0	0	0	0
KRT14	0	0	0	0	0
KRT15	0	0	0	-0.47133553907846526	0
KRT19	0	0	0	0	0
KRT4	0	0	0	0	0
KRT8	0	0	0	0	0
KXD1	0	0	0	0	0
