	cohenD	fc_case_control	pval	padj
2-stearoyl-GPE (18:0)*	0.128806191963451	0.06307972630171212	0.566247368566042	0.8533926960917194
(R)-3-hydroxybutyrylcarnitine	0.257309412706143	0.5727688601852212	0.253361866199355	0.6992590360631354
N-acetylcarnosine	-0.248230601464238	-0.19879785314243498	0.270357549327345	0.7071721141533412
margaroylcarnitine (C17)*	0.190169414908528	0.11521354980080033	0.397670620418157	0.7699425698242054
histidine betaine (hercynine)*	-0.539396189055352	-0.40310336949684084	0.0182031396230227	0.3132815513503045
retinal	-0.175939378038088	-0.11673962881263372	0.433768595918851	0.791026904850029
2-hydroxydecanoate	0.0733897144989501	0.07006694353070966	0.743633249682031	0.9213577771045216
4-methylcatechol sulfate	-0.243018767355262	-0.2906076738070894	0.280466642767057	0.7149228510557488
3-methyl catechol sulfate (1)	-0.0230376966048884	-0.04072696891924122	0.918205405595278	0.9646974245162072
guaiacol sulfate	-0.290693758886146	-0.33330948493122403	0.197422007626693	0.6475287609644903
2-aminooctanoate	-0.0612385197594888	-0.05003014629088283	0.784910779732127	0.941789223515936
gamma-CEHC glucuronide*	-0.248418735474175	-0.2718287007586498	0.26999745959378	0.7071721141533412
dimethyl sulfone	0.318675285572238	1.8095989968530402	0.15810051799779	0.6235196827901972
2-piperidinone	0.130688862885142	0.22948301238324317	0.560598678120364	0.8516772863263193
N-acetyl-1-methylhistidine*	-0.585276713986719	-1.1647890783927817	0.0106369993160689	0.2600648597925157
indolin-2-one	-0.273603903333213	-0.24499293510097142	0.224788998001705	0.6772681622664024
2-aminophenol sulfate	-0.213957021516535	-0.559566732131258	0.341601903750328	0.7376461946008647
1-stearoyl-GPS (18:0)*	0.305351468874487	0.34699262667787856	0.175998104391935	0.6407775560035237
sphingomyelin (d18:1/14:0, d16:1/16:0)*	0.0411526014376378	0.013924055140619061	0.854459675385498	0.9620009830465738
sphingomyelin (d18:2/16:0, d18:1/16:1)*	-0.0219734463104659	-0.0057015115138039675	0.921971391885934	0.9656580916001738
2-hydroxyphytanate*	0.027861777946819	0.024861718918645578	0.901159478297591	0.9646974245162072
6-oxopiperidine-2-carboxylate	-0.0768835301803371	-0.060161754029560054	0.731896586361576	0.9196272590406528
S-allylcysteine	-0.322883734323088	-0.9705491847422574	0.15274940770613	0.6182538722733443
N-delta-acetylornithine	-0.241641637087813	-0.6487258360226332	0.283180951438903	0.7149228510557488
acisoga	-0.413888116172412	-0.34719452518767946	0.067960300066324	0.4711407309987134
2-aminoheptanoate	0.0384614745161197	0.02887838042600823	0.863879137376572	0.9627896688619147
N-formylanthranilic acid	0.150807575933646	0.11011560129746883	0.502030772458686	0.8244157797715747
N2,N5-diacetylornithine	-0.331177902813638	-0.1898198188763151	0.142615659250203	0.6071755716963809
1H-indole-7-acetic acid	-0.128970441896821	-0.13919117021927332	0.56575345301555	0.8533926960917194
3-methoxytyramine sulfate	-0.411345681056096	-0.27929112538007556	0.0696326461153396	0.4711407309987134
methionine sulfone	-0.308756601204855	-0.2661212024803539	0.171283746573109	0.6407775560035237
1-linolenoyl-GPC (18:3)*	-0.291924794853349	-0.2790778753805696	0.195551043998531	0.6475287609644903
1-(1-enyl-oleoyl)-GPE (P-18:1)*	-0.0180014395757425	-0.008500327719717501	0.936041914189355	0.9723759248217524
fructosyllysine	0.0329233176491359	0.026568432077689576	0.883324441522175	0.9637600063932
N-methylpipecolate	-0.0666940123829126	-0.07950802519807952	0.76629424742394	0.935253200701471
O-sulfo-tyrosine	-0.344351971245763	-0.1836316183476702	0.12761033010978	0.5761470648786238
ferulic acid 4-sulfate	-0.293207657315392	-0.4869935718763248	0.193615443960104	0.6475287609644903
etiocholanolone glucuronide	-0.378923733679411	-0.559959191134912	0.0941409247205187	0.5066205400361591
N-acetyltaurine	-0.0427905533719104	-0.024064507307214027	0.848736772058019	0.9620009830465738
1-palmitoyl-GPG (16:0)*	-0.129334066272489	-0.09404832688847449	0.564660749954897	0.8533926960917194
3-methylglutarylcarnitine (2)	-0.213398248388528	-0.5503088644131182	0.342856870441643	0.7376461946008647
methyl glucopyranoside (alpha + beta)	-0.265432870645405	-0.5797192492119688	0.238809839354442	0.6848033501488188
2-keto-3-deoxy-gluconate	0.08915401215325	0.0678258063954995	0.691197143748077	0.8987256979371441
